# Constructed from biom file
#OTU ID	PCR-neg-1	PCR-neg-2	Sa-01	Sa-05	Sem-01	Sem-03	Sk-01	Sk-04	V-01	V-03
GU432165.1.1236	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	0.0
JF088258.1.1335	0.0	0.0	0.0	0.0	0.0	0.0	56.0	13.0	0.0	0.0
AF537601.1.1468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0
AJ006963.1.1453	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF103232.1.1331	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ482217.1.1351	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0
AY571668.1.1382	0.0	0.0	0.0	13.0	0.0	0.0	0.0	9.0	0.0	0.0
JQ452138.1.1369	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF101670.1.1332	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KY575377.1.1292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0
HM247547.1.1372	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
EU768384.1.1367	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
AJ251584.1.1414	0.0	0.0	0.0	0.0	13.0	45.0	0.0	0.0	0.0	0.0
HE681349.1.1508	0.0	0.0	21.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ470591.1.1499	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF385510.1.1522	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB547696.1.1280	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ894926.1.1357	0.0	3.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0
KF099543.1.1332	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0
